"Cytoscape","Cy.Betweenness","Coding","Co.Betweenness"
"Q13573",0.146169266350283,"Q99459",0.119475812264
"Q99459",0.143440888880211,"P04637",0.0704101419051
"O95758",0.0967680679983916,"P0CG48",0.0627956831544
"P04637",0.0868369084621853,"O95758",0.0622942968175
"Q14197",0.0724351444040546,"Q13573",0.0615393902676
"P0CG48",0.0719804020750649,"Q14197",0.0466715920064
"O35182",0.0443289131241529,"O35182",0.0317422841103
"P31947",0.0390559174066635,"P31947",0.0285802205574
"Q9UL18",0.0369463348551736,"Q9UKV8",0.0276126288818
"P63104",0.0327537247299484,"P63104",0.0269066673246
